goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Len2/Value-8         	 8795454	       135.0 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9122827	       130.5 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9167769	       134.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9857731	       129.5 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9427839	       128.9 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 8393330	       127.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 8419956	       130.8 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9264586	       133.2 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 8940406	       130.4 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 9098395	       132.1 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 8742904	       135.4 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	 8952342	       130.2 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 8455906	       133.2 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 9301468	       134.7 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 8563549	       134.7 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 7868156	       154.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 7412386	       163.0 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 6900290	       155.2 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 7467951	       156.2 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 8622297	       137.0 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 8779164	       133.7 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 7516282	       146.1 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 9125020	       134.5 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	 9047772	       134.1 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25802191	        50.32 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	23157337	        50.55 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25377669	        49.97 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25213834	        49.96 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	23655086	        49.23 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	23236482	        50.38 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25939747	        50.11 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	24264090	        51.08 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25585119	        50.58 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25197147	        51.03 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	25459083	        48.99 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/AsBoolSlice-8   	24968383	        49.67 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3644408	       344.5 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3720764	       345.2 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3593920	       343.3 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3735181	       363.5 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3179259	       331.8 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3558661	       355.0 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3598908	       340.3 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3398296	       346.3 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3486213	       339.6 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3650296	       336.9 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3589387	       348.0 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len2/Emit-8          	 3452835	       340.4 ns/op	      40 B/op	       5 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 7720519	       133.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9046441	       137.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 7476136	       134.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9004480	       134.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9073088	       136.4 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8836406	       134.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8577015	       131.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9368708	       131.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 9053403	       131.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSlice/Len8/Value-8         	 8393137	       135.0 ns/op	      16 B/op	       2 allocs/op
