goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Value-8         	 7235602	       141.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8544189	       140.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8532168	       143.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8381396	       138.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8675156	       139.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8579875	       142.4 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8535808	       140.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8394340	       142.7 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8520202	       144.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8585428	       138.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8021398	       137.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8584813	       142.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8560629	       165.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7540795	       174.1 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7486441	       144.4 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 6667160	       166.4 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7582021	       146.7 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7084041	       142.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8053392	       150.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8222823	       144.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8238812	       146.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8007078	       142.7 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7838119	       142.1 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8430914	       151.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	22975536	        50.98 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23941648	        51.97 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	22722115	        50.59 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23517585	        51.50 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	24167275	        53.86 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23848596	        51.40 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23366978	        52.34 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	25682235	        52.21 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23585536	        51.46 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	23372148	        55.27 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	24588783	        54.27 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	22989709	        52.68 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Emit-8          	 2823234	       426.6 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2864604	       461.7 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2728038	       428.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2878093	       437.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2741763	       432.7 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2752760	       434.9 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2571264	       447.5 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2787072	       432.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2784096	       434.6 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2846346	       426.9 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2757584	       436.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2690390	       428.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkIntSlice/Value-8          	 8302658	       153.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7731351	       152.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 8259415	       169.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 6105333	       205.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7207892	       204.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7511282	       154.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 8064710	       162.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7999936	       157.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7873245	       161.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7548415	       150.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 8195919	       157.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7802380	       164.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7716669	       161.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7567658	       164.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7538551	       158.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7610019	       156.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7262397	       163.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 6643364	       155.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7750041	       159.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7331438	       162.5 ns/op	      48 B/op	       2 allocs/op
