goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Len2/Value-8         	73560034	        16.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	70692022	        16.24 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	77062074	        16.66 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	65266802	        16.71 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	66022858	        16.93 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	76775652	        16.88 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	72109525	        16.79 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	74282072	        17.09 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	72964987	        17.14 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	63745232	        17.73 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	65383101	        17.35 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/Value-8         	71045878	        17.59 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	56156410	        23.15 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	48606062	        23.12 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	52513354	        23.47 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	50522266	        23.36 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSlice/Len2/KeyValue-8      	49783303	        25.91 ns/op	       2 B/op	       1 allocs/op
