goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Value-8         	 7908644	       139.4 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8270394	       142.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8330402	       149.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8363122	       145.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8299687	       150.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8341564	       141.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8566354	       140.3 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8430961	       145.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8437644	       140.1 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8469861	       143.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8669698	       150.9 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/Value-8         	 8364025	       140.9 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8181708	       154.8 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8059422	       145.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7161165	       151.2 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7513527	       142.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8514276	       146.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8815155	       146.9 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8151192	       150.7 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8405056	       144.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 7651417	       146.0 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8281064	       146.1 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8748488	       164.5 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/KeyValue-8      	 8123073	       145.6 ns/op	       6 B/op	       2 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	19841485	        62.33 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	18911070	        59.67 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	20162220	        56.71 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	21462547	        57.89 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	20062999	        57.61 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	21605736	        66.88 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	20842648	        58.63 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	19765213	        56.91 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	19113604	        58.24 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	19852940	        58.71 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	20118380	        58.12 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	20803896	        62.92 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Emit-8          	 2829286	       433.2 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2871657	       427.6 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2801347	       426.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2836711	       427.5 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2815669	       446.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2782092	       431.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2842398	       436.4 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2872720	       434.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2821196	       423.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2866324	       425.2 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2847655	       436.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2851772	       423.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkIntSlice/Value-8          	 7376532	       160.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7969394	       161.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 6428778	       165.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7704649	       167.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7488496	       160.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 6595791	       162.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7496266	       161.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7693633	       156.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7379827	       158.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7382379	       164.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7529580	       160.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Value-8          	 7493217	       158.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7231465	       168.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7121664	       172.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7345406	       167.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7231986	       173.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7395441	       179.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 6888742	       168.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7412035	       171.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7057148	       174.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7512847	       170.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7091072	       173.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7251902	       173.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/KeyValue-8       	 7081579	       174.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkIntSlice/Emit-8           	 3408244	       358.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3342936	       356.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3430068	       360.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3502116	       367.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3411242	       353.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3423961	       359.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3454717	       357.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3434089	       356.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3387262	       354.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3367666	       353.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3349231	       362.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3480633	       354.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Value-8        	 7873276	       153.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7461550	       153.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 8232513	       163.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7872976	       157.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7914080	       158.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7839586	       152.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7527225	       155.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 8074648	       157.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7728879	       151.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7947120	       158.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7744009	       157.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/Value-8        	 7605620	       161.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7624366	       168.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7501221	       156.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 6537274	       163.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7793233	       157.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 8139050	       157.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7714396	       163.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7763016	       160.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7597209	       158.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7809158	       161.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkInt64Slice/KeyValue-8     	 7730762	       157.6 ns/op	      48 B/op	       2 allocs/op
