goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSlice/Value-8         	49579509	        20.21 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	59397333	        20.20 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	58264928	        20.24 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	60572439	        21.71 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	55642120	        20.40 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	57138013	        20.39 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	59302881	        21.28 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	57461965	        20.99 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	56697387	        21.21 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	56102156	        20.85 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	49997386	        23.39 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Value-8         	48138454	        24.47 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	40853245	        27.89 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	42065370	        29.10 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	45595011	        25.42 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	48906454	        25.94 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	47756982	        25.91 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	46872208	        25.31 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	50059794	        25.55 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	49920002	        24.66 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	49528249	        26.00 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	49224258	        25.39 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	46511575	        24.66 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/KeyValue-8      	45848557	        24.70 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	52441340	        20.91 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	59433847	        21.01 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	50955204	        20.96 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	53781627	        20.41 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	55735360	        21.33 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	56214235	        20.53 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	57634014	        20.68 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	52252126	        20.20 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	59352763	        20.68 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	52153561	        21.53 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	57396730	        20.81 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/AsBoolSlice-8   	58211269	        20.41 ns/op	       3 B/op	       1 allocs/op
BenchmarkBoolSlice/Emit-8          	 3278394	       366.0 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3257049	       358.7 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3121735	       356.1 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3218307	       358.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3144399	       362.6 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3356618	       366.7 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3402000	       362.1 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3330925	       374.4 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3291654	       366.9 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3229309	       363.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 3400893	       365.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkBoolSlice/Emit-8          	 2986087	       361.8 ns/op	      54 B/op	       6 allocs/op
BenchmarkIntSlice/Value-8          	34625942	        36.62 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	33513580	        36.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	33776564	        43.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	28250414	        51.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	32103367	        38.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	28307815	        39.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	34409462	        36.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	30949341	        36.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	32190118	        36.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	33028963	        38.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	33085339	        37.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Value-8          	29526652	        35.28 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27692032	        44.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	28440472	        43.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	29092290	        43.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	28095237	        44.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27609994	        42.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	26496252	        43.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27078842	        43.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27470646	        44.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	26584610	        44.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	25519123	        42.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	28435129	        43.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/KeyValue-8       	27865662	        45.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkIntSlice/Emit-8           	 4221248	       299.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3807504	       308.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4115377	       297.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4058785	       295.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4073587	       311.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4112504	       300.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4034756	       292.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4145680	       296.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3975836	       297.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3913231	       295.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 3715620	       286.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkIntSlice/Emit-8           	 4232008	       303.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkInt64Slice/Value-8        	40986638	        29.27 ns/op	      24 B/op	       1 allocs/op
