goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSliceValue/Len2-8 	 9910964	       118.8 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	10438868	       118.3 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9963446	       120.5 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	10482475	       118.5 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9318876	       124.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	10248560	       119.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9402915	       126.3 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9264518	       123.4 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9095239	       130.9 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 8974603	       126.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9559584	       124.8 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len2-8 	 9427222	       126.6 ns/op	       4 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9917940	       128.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8937070	       128.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9699710	       127.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9378860	       131.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9333933	       128.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9234423	       128.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 7576512	       133.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8862926	       130.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9173956	       131.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9396409	       134.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8334121	       132.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9453645	       129.2 ns/op	      16 B/op	       2 allocs/op
