goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSliceValue/Len2-8 	62205717	        18.62 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	69677298	        18.95 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	62311335	        19.21 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	71111780	        18.52 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	65932902	        19.15 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	65047860	        19.49 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	58969658	        19.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	61977464	        19.22 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	58936644	        20.12 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	56786653	        21.76 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	53275431	        21.77 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len2-8 	65354734	        24.24 ns/op	       2 B/op	       1 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 7323831	       150.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9151527	       136.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8872885	       141.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8900472	       132.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 9339530	       134.5 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8678938	       136.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8501264	       144.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBoolSliceValue/Len8-8 	 8690258	       136.8 ns/op	      16 B/op	       2 allocs/op
