goos: linux
goarch: amd64
pkg: go.opentelemetry.io/otel/attribute/internal
cpu: Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz
BenchmarkBoolSliceValue-8      	 8984574	       133.6 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8912763	       135.7 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8225695	       144.4 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 9214405	       138.3 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 7746423	       139.0 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8554380	       136.4 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8650761	       142.1 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8552840	       144.0 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8970315	       140.8 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 9053078	       136.9 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 7898937	       139.4 ns/op	       8 B/op	       2 allocs/op
BenchmarkBoolSliceValue-8      	 8746302	       137.8 ns/op	       8 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 8044771	       156.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7748682	       169.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7647330	       161.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 6765096	       165.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7535172	       158.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7642612	       157.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7059050	       158.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 8156971	       164.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7963354	       159.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7682988	       155.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkInt64SliceValue-8     	 7834165	       157.3 ns/op	      64 B/op	       2 allocs/op
